date,file_dimension,file_down_url,file_format,file_size,file_stored_name,file_title_web,file_urls,root_url,time
2022-12-01,,http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/estudio-exploratorio-medicion-de-victimizacion-por-crimenes-de-odio-en-enusc-(2020).pdf,pdf,,estudio-exploratorio-medicion-de-victimizacion-por-crimenes-de-odio-en-enusc-(2020).pdf,Estudio exploratorio para la medición de victimización por crímenes de odio en ENUSC 2020,http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/estudio-exploratorio-medicion-de-victimizacion-por-crimenes-de-odio-en-enusc-(2020).pdf,https://www.ine.gob.cl/estadisticas/sociales/genero,23:19:12
2022-12-01,,http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/evaluaci%C3%B3n-de-comprensi%C3%B3n-y-estimaci%C3%B3n-de-preguntas-de-sexo-al-nacer-identidad-de-genero-y-orientacion-sexual-2019.pdf,pdf,,evaluaci%C3%B3n-de-comprensi%C3%B3n-y-estimaci%C3%B3n-de-preguntas-de-sexo-al-nacer-identidad-de-genero-y-orientacion-sexual-2019.pdf,"Evaluación de comprensión y estimación de preguntas de sexo al nacer, identidad de género y orientación sexual 2019",http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/evaluaci%C3%B3n-de-comprensi%C3%B3n-y-estimaci%C3%B3n-de-preguntas-de-sexo-al-nacer-identidad-de-genero-y-orientacion-sexual-2019.pdf,https://www.ine.gob.cl/estadisticas/sociales/genero,23:19:12
2022-12-01,,http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/manual-con-enfoque-de-g%C3%A9nero-en-la-producci%C3%B3n-estad%C3%ADstica-con-gsbpm-2019.pdf,pdf,,manual-con-enfoque-de-g%C3%A9nero-en-la-producci%C3%B3n-estad%C3%ADstica-con-gsbpm-2019.pdf,Manual con enfoque de género en la producción estadística con foco en GSBPM 2019,http://www.ine.gob.cl/docs/default-source/genero/gu%C3%ADas-y-documentos/documentos/manual-con-enfoque-de-g%C3%A9nero-en-la-producci%C3%B3n-estad%C3%ADstica-con-gsbpm-2019.pdf,https://www.ine.gob.cl/estadisticas/sociales/genero,23:19:12
2022-12-01,,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_infograf%C3%ADa.pdf,pdf,,estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_infograf%C3%ADa.pdf,Estimaciones y proyecciones 2002-2035 base 2017 región área infografía,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_infograf%C3%ADa.pdf,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:19:14
2022-12-01,,http://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/boletines/2014/indicadores-referenciales-de-costos-de-las-isapre-(irci).pdf,pdf,,indicadores-referenciales-de-costos-de-las-isapre-(irci).pdf,Indicadores referenciales de costos de las ISAPRE (IRCI),http://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/boletines/2014/indicadores-referenciales-de-costos-de-las-isapre-(irci).pdf,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:19:14
2022-12-01,,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_s%C3%ADntesis.pdf,pdf,,ine_estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_s%C3%ADntesis.pdf,Estimaciones y proyecciones 2002-2035 base 2017 región área síntesis,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_s%C3%ADntesis.pdf,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:19:14
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/cuadros-estadisticos/base-enero-2010-septiembre-2012/%C3%ADndice-de-cantidad-bonificado-isapres-(icbi).xls?sfvrsn=43ae2f52_6,XLS,13.18,Índice de Cantidad Bonificado Isapres (Icbi),CUADROS ESTADÍSTICOS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/cuadros-estadisticos/base-enero-2010-septiembre-2012/%C3%ADndice-de-cantidad-bonificado-isapres-(icbi).xls?sfvrsn=43ae2f52_6,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:20:45
2022-12-01,,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/ine_estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2050_base-2017_s%C3%ADntesis.pdf,pdf,,ine_estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2050_base-2017_s%C3%ADntesis.pdf,Estimaciones y proyecciones 1992-2050 base 2017 país síntesis,http://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/publicaciones-y-anuarios/base-2017/ine_estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2050_base-2017_s%C3%ADntesis.pdf,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:20:45
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/cuadros-estadisticos/base-enero-2010-septiembre-2012/%C3%ADndice-de-cantidad-isapres-(ici).xls?sfvrsn=1df2177a_4,XLS,13.03,Índice de Cantidad Isapres (Ici),CUADROS ESTADÍSTICOS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/cuadros-estadisticos/base-enero-2010-septiembre-2012/%C3%ADndice-de-cantidad-isapres-(ici).xls?sfvrsn=1df2177a_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:20:45
2022-12-01,,http://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/boletines/2022/pa%C3%ADs/bolet%C3%ADn-empleo-nacional-trimestre-m%C3%B3vil-agosto-2022---septiembre-2022---octubre-2022.pdf,pdf,,bolet%C3%ADn-empleo-nacional-trimestre-m%C3%B3vil-agosto-2022---septiembre-2022---octubre-2022.pdf,Boletín empleo nacional trimestre móvil agosto 2022 - septiembre 2022 - octubre 2022,http://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/boletines/2022/pa%C3%ADs/bolet%C3%ADn-empleo-nacional-trimestre-m%C3%B3vil-agosto-2022---septiembre-2022---octubre-2022.pdf,https://www.ine.gob.cl/estadisticas/sociales/mercado-laboral/ocupacion-y-desocupacion,23:20:45
